repo_url,default_score,depsdev_dependent_count,legacy_closed_issues_count,legacy_commit_frequency,legacy_contributor_count,legacy_created_since,legacy_github_mention_count,legacy_issue_comment_frequency,legacy_org_count,legacy_recent_release_count,legacy_updated_issues_count,legacy_updated_since,repo_created_at,repo_language,repo_license,repo_star_count,repo_updated_at
https://github.com/zephyrproject-rtos/zephyr,0.8245,,59225,307.08,2381,107,27482,0.49,9,10,61706,0,2015-04-10T23:44:37Z,C,Apache License 2.0,9078,2024-01-30T09:40:15Z
https://github.com/OpenIDC/mod_auth_openidc,0.57521,,305,3.92,55,119,95,2.61,4,10,305,0,2014-03-27T18:54:06Z,C,Apache License 2.0,927,2024-01-30T14:42:37Z
https://github.com/cms-sw/cmssw,0.8411,,21621,106.48,2809,311,22370,2,7,102,22422,0,1998-07-01T09:18:03Z,C++,Apache License 2.0,989,2024-01-30T20:15:58Z
https://github.com/tensorflow/tensorflow,0.84386,856,45925,316.15,4535,100,250433,0.63,3,17,47978,0,2015-11-07T00:27:58Z,C++,Apache License 2.0,180282,2024-01-30T22:53:54Z
https://github.com/git/git,0.89954,,963,53.04,2175,229,56998257,16.35,5,49,1125,0,2005-04-07T22:13:13Z,C,Other,48645,2024-01-30T20:33:02Z
https://github.com/ceph/ceph,0.83627,,36374,125.15,1842,277,745183,0.81,4,16,37067,0,2001-04-29T10:23:23Z,C++,Other,12878,2024-01-30T17:13:30Z
https://github.com/php/php-src,0.86794,,9394,70.46,1461,302,302530,2.93,7,52,10254,0,1999-04-07T18:10:10Z,C,Other,36761,2024-01-30T20:58:19Z
https://github.com/raspberrypi/linux,0.91727,,2905,229.96,5000,228,176084,7.68,10,5,3760,0,2005-04-16T22:20:36Z,C,Other,10426,2024-01-26T11:49:42Z
https://github.com/intel/gvt-linux,0.89635,,147,139.92,5000,228,199811,6.8,10,39,228,10,2005-04-16T22:20:36Z,C,Other,485,2023-03-16T02:38:04Z
https://github.com/facebook/react-native,0.85046,14565,33541,74.06,3675,110,548817,0.86,4,57,34704,0,2015-01-09T18:10:16Z,C++,MIT License,114019,2024-01-30T20:54:26Z
https://github.com/openssl/openssl,0.83419,,15576,41.87,1100,305,1969147,1.67,5,21,18018,0,1998-12-21T10:52:45Z,C,Apache License 2.0,23617,2024-01-29T17:50:56Z
https://github.com/torvalds/linux,0.91331,,165,1661.85,5000,151,83740685,2.34,10,66,420,0,2011-09-04T22:45:10Z,C,Other,164927,2024-01-30T02:45:54Z
https://github.com/systemd/systemd,0.85183,,21765,160.92,2664,228,306268,1.26,5,12,23860,0,2005-04-27T03:59:47Z,C,GNU General Public License v2.0,12110,2024-01-30T08:34:17Z
https://github.com/electron/electron,0.82265,1625,29491,17.83,1432,132,132872,0.99,9,252,30404,0,2013-03-13T19:31:24Z,C++,MIT License,110457,2024-01-30T20:48:47Z
https://github.com/CleverRaven/Cataclysm-DDA,0.7865,,47181,140.06,2603,162,13124,0.61,3,2203,49153,0,2010-10-04T03:22:35Z,C++,Other,9328,2024-01-30T15:12:18Z
https://github.com/qmk/qmk_firmware,0.82915,,20193,51.75,3294,164,54114,1.44,5,115,20814,0,2010-08-10T04:34:06Z,C,GNU General Public License v2.0,16557,2024-01-30T20:20:24Z
